id,hero,str,str_gain,str30,agi,agi_gain,agi30,int,int_gain,int30,t,t_gain,t30,ms,ar,dmg_min,dmg_max,rg,as,bat,atk-pt,atk-bs,vs-d,vs-n,tr,col,hp-s,l
23,Dawnbreaker,26,3.6,130.4,14,1.7,63.3,20,2.2,83.8,60,7.5,277.5,310,4.33,57,61,150,100,1.7,0.46,,1800,800,0.6,24,2.85,2
24,Dazzle,18,2.5,90.5,20,1.7,69.3,25,3.7,132.3,63,7.9,292.1,305,3.33,47,53,575,100,1.7,0.3,0.3,1800,800,0.7,24,2.05,2
25,Death Prophet,21,3.1,110.9,14,1.8,66.2,24,3.3,119.7,59,8.2,296.8,325,3.33,47,57,600,100,1.7,0.5,0.51,1800,800,0.8,24,2.35,2
26,Disruptor,21,2.4,90.6,15,1.4,55.6,20,2.9,104.1,56,6.7,250.3,295,2.5,49,53,625,100,1.7,0.4,0.5,1800,800,0.6,24,2.35,2
27,Doom,24,3.7,131.3,11,0.9,37.1,15,1.7,64.3,50,6.3,232.7,285,4.83,58,68,200,100,1.9,0.5,0.7,1800,800,0.6,24,2.65,2
28,Dragon Knight,21,3.4,119.6,19,2,77,18,1.7,67.3,58,7.1,263.9,310,3.17,53,59,150,100,1.7,0.5,0.5,1800,800,0.6,24,2.35,2
29,Drow Ranger,18,1.9,73.1,20,2.9,104.1,15,1.4,55.6,53,6.2,232.8,295,3.33,49,56,625,100,1.7,0.5,0.3,1800,800,0.7,24,2.05,2
30,Earth Spirit,22,4.4,149.6,17,2.4,86.6,20,2.1,80.9,59,8.9,317.1,290,2.83,47,57,150,100,1.7,0.35,0.65,1800,800,0.6,24,2.45,2
31,Earthshaker,22,3.7,129.3,12,1.4,52.6,18,2.1,78.9,52,7.2,260.8,315,4,49,59,150,100,1.7,0.467,0.863,1800,800,0.9,24,3.2,2
32,Elder Titan,26,3,113,14,1.8,66.2,23,1.6,69.4,63,6.4,248.6,310,2.33,49,59,150,100,1.7,0.35,0.97,1800,800,0.6,24,2.85,2
33,Ember Spirit,21,2.6,96.4,22,2.9,106.1,20,2.2,83.8,63,7.7,286.3,305,2.67,55,59,150,100,1.7,0.4,0.3,1800,800,0.6,24,2.85,2
34,Enchantress,17,1.7,66.3,19,1.8,71.2,22,3.8,132.2,58,7.3,269.7,320,4.17,45,55,575,100,1.7,0.3,0.7,1800,800,0.6,24,1.95,4
35,Enigma,21,2.5,93.5,14,1,43,19,3.6,123.4,54,7.1,259.9,290,4.33,43,49,500,100,1.7,0.4,0.77,1800,800,0.6,24,2.35,0
36,Faceless Void,20,2.4,89.6,19,3,106,15,1.5,58.5,54,6.9,254.1,300,4.17,56,62,150,100,1.7,0.5,0.56,1800,800,0.9,24,2.5,2
37,Grimstroke,21,2.4,90.6,18,1.9,73.1,25,3.8,135.2,64,8.1,298.9,290,3,46,50,600,100,1.7,0.35,0.85,1800,800,0.6,24,2.35,0
38,Gyrocopter,22,2.5,94.5,26,3.3,121.7,21,2.4,90.6,69,8.2,306.8,315,6.33,42,48,365,125,1.7,0.2,0.1,1800,800,0.6,24,2.45,2
39,Hoodwink,17,2,75,24,3.6,128.4,21,2.9,105.1,62,8.5,308.5,310,4,46,53,575,100,2,0.4,1.5,1800,800,0.9,8,1.95,4
40,Huskar,21,3.4,119.6,13,1.6,59.4,18,1.5,61.5,52,6.5,240.5,295,1.17,42,47,400,100,1.6,0.3,0.5,1800,800,0.6,24,2.35,2
41,Invoker,18,2.4,87.6,14,1.9,69.1,15,4.6,148.4,47,8.9,305.1,275,2.33,44,50,600,100,1.7,0.4,0.7,1800,800,0.6,24,2.05,2
42,Io,17,3,104,14,1.6,60.4,23,1.7,72.3,54,6.3,236.7,320,3.33,45,51,500,100,1.7,0.3,0.4,1800,800,0.7,24,1.95,0
43,Jakiro,27,2.8,108.2,15,1.2,49.8,26,3,113,68,7,271,290,3.5,53,61,400,100,1.7,0.4,0.3,1800,800,0.6,24,2.95,2
44,Juggernaut,20,2.2,83.8,34,2.8,115.2,14,1.4,54.6,68,6.4,253.6,305,5.67,50,54,150,110,1.4,0.33,0.84,1800,800,0.6,24,2.5,2
45,Keeper of the Light,18,2.3,84.7,15,1.6,61.4,23,3.2,115.8,56,7.1,261.9,330,2.5,41,48,600,100,1.7,0.3,0.85,1800,800,0.6,24,2.05,2
46,Kunkka,24,3.8,134.2,14,1.6,60.4,18,1.8,70.2,56,7.2,264.8,315,4.33,50,60,150,100,1.7,0.4,0.3,1800,800,0.6,24,3.15,2
47,Legion Commander,25,3.3,120.7,18,1.7,67.3,20,2.2,83.8,63,7.2,271.8,330,3,60,64,150,100,1.7,0.46,0.64,1800,800,0.6,24,2.75,2
48,Leshrac,20,2.5,92.5,23,2.8,104.2,22,3.5,123.5,65,8.8,320.2,325,3.83,44,48,575,100,1.7,0.4,0.6,1800,800,0.6,24,2.25,4
49,Lich,20,2.1,80.9,15,2,73,24,4.1,142.9,59,8.2,296.8,295,1.5,48,57,550,100,1.7,0.46,0.54,1800,800,0.6,24,2.25,2
50,Lifestealer,25,2.4,94.6,19,2.6,94.4,15,1.8,67.2,59,6.8,256.2,320,4.17,47,53,150,120,1.7,0.39,0.44,1800,800,0.9,24,2.75,2
51,Lina,20,2.4,89.6,23,2.1,83.9,30,3.7,137.3,73,8.2,310.8,290,3.83,51,59,670,100,1.6,0.65,0.6,1800,800,0.6,24,2.25,2
52,Lion,18,2.2,81.8,18,1.5,61.5,18,3.5,119.5,54,7.2,262.8,290,2,47,53,600,115,1.7,0.43,0.74,1800,800,0.6,24,2.05,2
53,Lone Druid,18,2.5,90.5,20,2.8,101.2,13,1.4,53.6,51,6.7,245.3,325,1.33,38,42,550,100,1.6,0.33,0.53,1800,800,0.6,24,2.05,2
54,Luna,21,2.2,84.8,24,3.4,122.6,23,1.9,78.1,68,7.5,285.5,325,6,50,56,330,100,1.7,0.35,0.54,1800,800,0.6,24,2.6,2
55,Lycan,26,3.4,124.6,16,1.7,65.3,23,1.7,72.3,65,6.8,262.2,315,2.67,50,55,150,100,1.7,0.55,0.25,1800,800,0.6,8,2.85,2
56,Magnus,25,3.5,126.5,15,2.5,87.5,19,2.1,79.9,59,8.1,293.9,305,3.5,57,65,150,100,1.8,0.5,0.84,1800,800,0.8,24,3,4
57,Marci,23,3.3,118.7,20,2.4,89.6,19,1.9,74.1,62,7.6,282.4,310,3.33,56,60,150,100,1.7,0.3,0.5,1800,800,0.9,24,2.55,2
58,Mars,23,3.4,121.6,20,1.7,69.3,21,2.2,84.8,64,7.3,275.7,310,2.33,52,60,250,100,1.8,0.4,1.38,1800,800,0.8,24,2.55,2
59,Medusa,17,1.5,60.5,22,3.4,120.6,23,3.4,121.6,62,8.3,302.7,275,2.67,48,54,600,100,1.7,0.5,0.6,1800,800,0.6,24,1.95,0
60,Meepo,24,1.6,70.4,17,1.6,63.4,20,1.6,66.4,61,4.8,200.2,330,5.83,39,45,150,100,1.7,0.38,0.6,1800,800,0.7,8,2.65,2
61,Mirana,18,2.2,81.8,18,3.7,125.3,22,1.9,77.1,58,7.8,284.2,290,2,45,50,630,115,1.7,0.35,0.7,1800,800,0.6,24,2.05,2
62,Monkey King,18,2.8,99.2,22,3.7,129.3,20,1.8,72.2,60,8.3,300.7,300,5.67,51,55,300,100,1.7,0.45,0.2,1800,800,0.6,8,2.8,2
63,Morphling,22,3,109,24,3.9,137.1,19,1.8,71.2,65,8.7,317.3,280,2,33,42,350,100,1.5,0.5,0.5,1800,800,0.6,24,2.45,0
64,Naga Siren,21,2.8,102.2,21,3.3,116.7,21,2,79,63,8.1,297.9,330,6.5,44,46,150,100,1.7,0.5,0.5,1800,800,0.6,8,3.6,0
65,Nature's Prophet,21,2.6,96.4,22,3.6,126.4,23,3.7,130.3,66,9.9,353.1,295,3.67,50,60,600,100,1.7,0.4,0.6,1800,800,0.6,24,2.35,2
66,Necrophos,18,2.3,84.7,12,1.3,49.7,21,2.7,99.3,51,6.3,233.7,280,3,47,51,500,100,1.7,0.3,0.47,1800,800,0.6,24,2.05,2
67,Night Stalker,23,3,110,18,2.3,84.7,15,1.6,61.4,56,6.9,256.1,295,5,63,67,150,100,1.7,0.55,0.55,800,1800,0.6,24,4.3,2
68,Nyx Assassin,17,2.5,89.5,18,2.5,90.5,21,2.1,81.9,56,7.1,261.9,310,4,45,49,150,100,1.7,0.46,0.54,1800,800,0.6,24,3.7,6
69,Ogre Magi,23,3.3,118.7,14,1.5,57.5,15,2.5,87.5,52,7.3,263.7,290,7.33,49,55,150,100,1.7,0.3,0.3,1800,800,0.6,24,5.55,2
70,Omniknight,23,3.1,112.9,15,2,73,15,1.8,67.2,53,6.9,253.1,315,4.5,54,64,150,100,1.7,0.433,0.567,1800,800,0.6,24,2.55,2
71,Oracle,20,2.4,89.6,15,1.7,64.3,26,3.8,136.2,61,7.9,290.1,295,3.5,39,45,620,100,1.7,0.3,0.7,1800,800,0.7,24,2.25,0
72,Outworld Destroyer,21,2.9,105.1,22,1.6,68.4,30,4.2,151.8,73,8.7,325.3,320,6.17,49,61,450,100,1.9,0.46,0.54,1800,800,0.6,24,3.1,4
73,Pangolier,17,2.5,89.5,18,3.2,110.8,16,1.9,71.1,51,7.6,271.4,300,4,51,57,150,100,1.7,0.33,0.77,1800,800,0.9,24,1.95,2
74,Phantom Assassin,21,2.2,84.8,23,3.4,121.6,15,1.4,55.6,59,7,262,305,4.83,55,57,150,100,1.7,0.3,0.7,1800,800,0.6,24,2.85,2
75,Phantom Lancer,19,2.2,82.8,26,3.2,118.8,21,2,79,66,7.4,280.6,290,3.33,52,62,150,100,1.7,0.5,0.5,1800,800,0.6,8,3.4,2
76,Phoenix,23,3.5,124.5,12,1.3,49.7,16,1.8,68.2,51,6.6,242.4,280,1,49,59,525,100,1.7,0.35,0.633,1800,800,0.9,24,3.3,2
77,Puck,17,2.4,86.6,22,2.5,94.5,23,3.5,124.5,62,8.4,305.6,290,0.67,45,53,550,100,1.7,0.5,0.8,1800,800,0.8,24,2.2,2
78,Pudge,25,3,112,14,1.4,54.6,16,1.5,59.5,55,5.9,226.1,280,2.33,67,73,175,100,1.7,0.5,1.17,1800,800,0.7,24,4.5,2
79,Pugna,19,2,77,24,1.3,61.7,24,5.2,174.8,67,8.5,313.5,330,4,45,52,630,100,1.7,0.5,0.5,1800,800,0.6,24,2.15,2
80,Queen of Pain,18,2.4,87.6,22,2.5,94.5,25,3.4,123.6,65,8.3,305.7,290,3.67,49,55,550,100,1.5,0.56,0.41,1800,800,0.6,24,2.05,2
81,Razor,22,2.8,103.2,22,2.6,97.4,21,2.2,84.8,65,7.6,285.4,290,2.67,45,47,475,100,1.7,0.3,0.4,1800,800,0.6,24,3.2,0
82,Riki,18,2.4,87.6,18,1.4,58.6,14,1.3,51.7,50,5.1,197.9,320,6,59,63,150,100,1.7,0.3,0.3,1800,800,0.6,24,4.3,2
83,Rubick,21,2,79,23,2.5,95.5,25,3.1,114.9,69,7.6,289.4,290,3.83,49,55,550,100,1.7,0.4,0.77,1800,800,0.7,24,2.35,2
84,Sand King,22,2.7,100.3,19,1.8,71.2,19,1.8,71.2,60,6.3,242.7,290,2.17,45,55,150,110,1.7,0.53,0.47,1800,800,0.6,24,2.45,6
85,Shadow Demon,23,2.6,98.4,18,2.2,81.8,22,3.6,126.4,63,8.4,306.6,290,3,51,55,500,100,1.7,0.35,0.5,1800,800,0.6,24,2.55,2
86,Shadow Fiend,19,2.7,97.3,20,3.5,121.5,18,2.2,81.8,57,8.4,300.6,305,4.33,39,45,500,100,1.6,0.5,0.54,1800,800,0.9,24,2.15,0
87,Shadow Shaman,23,2.3,89.7,16,1.6,62.4,25,3.5,126.5,64,7.4,278.6,285,4.67,71,78,400,90,1.7,0.3,0.5,1800,800,0.6,24,3.3,2
88,Silencer,19,2.4,88.6,22,2.4,91.6,25,2.9,109.1,66,7.7,289.3,290,2.67,43,57,600,115,1.7,0.5,0.5,1800,800,0.6,24,2.15,2
89,Skywrath Mage,21,2,79,13,0.8,36.2,25,4.1,143.9,59,6.9,259.1,325,0.17,41,51,625,100,1.7,0.4,0.78,1800,800,0.6,24,2.35,2
90,Slardar,21,3.6,125.4,17,2.4,86.6,15,1.5,58.5,53,7.5,270.5,300,5.83,51,59,150,100,1.7,0.36,0.64,1800,800,0.6,24,2.6,0
91,Slark,21,1.9,76.1,21,1.7,70.3,16,1.7,65.3,58,5.3,211.7,300,3.5,53,61,150,110,1.7,0.5,0.3,1800,1800,0.7,24,3.85,2
92,Snapfire,20,3.5,121.5,16,1.9,71.1,21,2.2,84.8,57,7.6,277.4,300,3.67,46,52,500,100,1.6,0.35,1.23,1800,800,0.6,24,2.75,2
93,Sniper,19,2,77,27,3.2,119.8,15,2.6,90.4,61,7.8,287.2,285,3.5,40,46,550,100,1.7,0.17,0.7,1800,1400,0.7,24,2.15,2
94,Spectre,23,2.5,95.5,23,2.1,83.9,16,1.9,71.1,62,6.5,250.5,290,4.83,46,50,150,90,1.7,0.3,0.7,1800,800,0.6,24,3.8,0
95,Spirit Breaker,28,3,115,17,1.7,66.3,14,1.8,66.2,59,6.5,247.5,295,4.83,59,69,150,100,1.9,0.6,0.3,1800,800,0.6,24,4.05,2
96,Storm Spirit,21,2,79,22,1.7,71.3,23,3.9,136.1,66,7.6,286.4,285,5.67,47,57,480,110,1.7,0.5,0.3,1800,800,0.8,24,2.35,2
97,Sven,22,3.2,114.8,21,2,79,16,1.3,53.7,59,6.5,247.5,325,3.5,63,65,150,100,1.9,0.4,0.3,1800,800,0.6,24,2.45,2
98,Techies,19,2.5,91.5,14,1.3,51.7,25,3.3,120.7,58,7.1,263.9,320,7.33,34,36,700,90,1.7,0.5,0.5,1800,800,0.6,24,2.15,6
99,Templar Assassin,21,2.4,90.6,23,3.2,115.8,20,2,78,64,7.6,284.4,305,4.83,53,59,160,100,1.7,0.3,0.5,1800,800,0.7,24,2.35,2
100,Terrorblade,16,2,74,22,4.4,149.6,19,1.6,65.4,57,8,289,315,8.67,52,58,150,100,1.5,0.3,0.6,1800,800,0.6,24,2.6,2
101,Tidehunter,27,3.5,128.5,15,1.5,58.5,18,1.7,67.3,60,6.7,254.3,300,2.5,52,58,150,100,1.7,0.6,0.56,1800,800,0.6,24,2.95,2
102,Timbersaw,24,3.2,116.8,16,1.6,62.4,23,2.7,101.3,63,7.5,280.5,290,2.67,51,55,150,100,1.7,0.36,0.64,1800,800,0.6,24,2.65,2
103,Tinker,18,2.5,90.5,13,1.2,47.8,30,3.3,125.7,61,7,264,290,4.17,54,60,500,100,1.7,0.35,0.65,1800,800,0.6,24,2.05,2
104,Tiny,30,4,146,0,0,0,17,2.2,80.8,47,6.2,226.8,295,0,61,67,150,90,1.7,0.4,0.7,1800,800,0.6,24,4.5,2
105,Treant Protector,25,3.4,123.6,15,2,73,20,1.8,72.2,60,7.2,268.8,285,1.5,87,95,150,100,1.9,0.6,0.4,1800,800,0.6,24,2.75,2
106,Troll Warlord,21,2.5,93.5,21,3.3,116.7,13,1,42,55,6.8,252.2,290,2.5,48,56,500,100,1.7,0.3,0.3,1800,800,0.6,24,2.35,2
107,Tusk,23,3.9,136.1,23,2.1,83.9,18,1.7,67.3,64,7.7,287.3,315,4.83,50,54,150,100,1.7,0.36,0.64,1800,800,0.7,24,3.05,2
108,Underlord,25,3,112,12,1.6,58.4,17,2.3,83.7,54,6.9,254.1,290,5,62,68,200,100,1.7,0.45,0.7,1800,800,0.6,24,2.75,2
109,Undying,22,2.8,103.2,10,1.2,44.8,27,2.8,108.2,59,6.8,256.2,300,2.67,57,65,150,100,1.7,0.3,0.3,1800,800,0.6,24,2.45,2
110,Ursa,25,2.6,100.4,18,2.6,93.4,16,1.5,59.5,59,6.7,253.3,310,4,42,46,150,100,1.7,0.3,0.3,1800,800,0.6,24,3,2
111,Vengeful Spirit,19,2.6,94.4,20,3.2,112.8,19,1.5,62.5,58,7.3,269.7,295,3.33,44,50,400,100,1.7,0.33,0.64,1800,800,0.6,24,2.15,2
112,Venomancer,19,2.1,79.9,24,2.8,105.2,19,1.8,71.2,62,6.7,256.3,280,4,42,45,450,115,1.7,0.3,0.7,1800,800,0.6,24,2.15,0
113,Viper,21,2.4,90.6,21,2.7,99.3,17,2,75,59,7.1,264.9,275,1.5,48,50,575,120,1.7,0.33,1,1800,800,0.6,24,2.35,0
114,Visage,22,2.8,103.2,11,1.3,48.7,22,2.9,106.1,55,7,258,285,0.83,45,55,600,110,1.7,0.4,0.54,1800,800,0.6,24,2.45,2
115,Void Spirit,22,2.6,97.4,19,2.2,82.8,24,3.1,113.9,65,7.9,294.1,295,2.17,54,58,200,100,1.7,0.35,0.78,1800,800,0.7,24,2.45,2
116,Warlock,24,3,111,10,1,39,25,3.1,114.9,59,7.1,264.9,290,2.67,49,59,600,100,1.7,0.3,0.3,1800,800,0.6,24,2.65,2
117,Weaver,16,2,74,17,3.1,106.9,20,2,78,53,7.1,258.9,275,2.83,54,60,425,120,1.8,0.55,0.36,1800,800,0.6,24,2.85,4
118,Windranger,18,3,105,17,1.4,57.6,18,3.6,122.4,53,8,285,290,1.83,42,54,600,100,1.5,0.4,0.3,1800,800,0.8,24,2.05,2
119,Winter Wyvern,24,2.6,99.4,16,1.7,65.3,26,3.6,130.4,66,7.9,295.1,285,2.67,40,47,425,100,1.7,0.25,0.8,1800,800,0.6,24,2.65,2
120,Witch Doctor,18,2.3,84.7,13,1.4,53.6,22,3.3,117.7,53,7,256,300,2.17,51,61,600,100,1.7,0.4,0.5,1800,800,0.6,24,2.05,2
121,Wraith King,22,3,109,18,1.7,67.3,18,1.6,64.4,58,6.3,240.7,315,2,60,62,150,100,1.7,0.56,0.44,1800,800,0.6,24,2.45,2
122,Zeus,19,2.1,79.9,11,1.2,45.8,22,3.3,117.7,52,6.6,243.4,315,3.83,55,63,380,100,1.7,0.35,0.55,1800,800,0.6,24,2.15,2
